 Number of clients, min, ave, max, user, kernel,  MB RAM, Time
      1,    19120,    20237,    21223,  263373,   74221, 436.80,   00:45:42
     10,    21113,    21446,    21778,  261349,   72657, 437.65,   00:48:02
     20,    24945,    24995,    25087,  228988,   59892, 438.43,   00:50:02
     30,    26600,    26633,    26677,  210013,   58512, 439.18,   00:51:55
     40,    27025,    27230,    27609,  206356,   58006, 440.05,   00:53:45
     50,    27495,    27675,    27914,  202030,   56304, 441.77,   00:55:33
     60,    27483,    27727,    28045,  195010,   56580, 443.64,   00:57:21
     70,    27788,    27957,    28266,  198306,   57178, 446.22,   00:59:09
     80,    28007,    28046,    28086,  194840,   57707, 449.10,   01:00:56
     90,    28138,    28185,    28279,  191958,   57845, 451.99,   01:02:42
    100,    28261,    28495,    28641,  188186,   56465, 455.36,   01:04:27
    110,    28003,    28170,    28260,  190267,   59202, 459.49,   01:06:14
    120,    28181,    28407,    28625,  191659,   58926, 463.64,   01:08:00
    130,    27785,    28038,    28426,  189014,   58420, 468.55,   01:09:47
    140,    28176,    28602,    29009,  188899,   57132, 473.02,   01:11:31
    150,    28275,    28592,    28858,  185701,   56971, 478.44,   01:13:16
    160,    28415,    28457,    28510,  190173,   57500, 484.11,   01:15:02
    170,    28484,    28661,    28834,  187450,   57730, 490.32,   01:16:47
    180,    28564,    28645,    28702,  187887,   58328, 496.30,   01:18:31
    190,    28620,    28817,    28943,  183908,   58811, 503.57,   01:20:15
    200,    28893,    29230,    29427,  179722,   57109, 510.54,   01:21:58
    210,    28667,    28999,    29363,  182712,   58880, 518.02,   01:23:41
    220,    29148,    29320,    29539,  180064,   59317, 525.22,   01:25:24
    230,    29047,    29182,    29312,  182528,   59133, 534.05,   01:27:07
    240,    29056,    29211,    29509,  177192,   58972, 542.30,   01:28:49
    250,    28825,    29074,    29348,  182596,   58213, 551.07,   01:30:33
    260,    28917,    29210,    29566,  181217,   58581, 560.62,   01:32:15
    270,    29133,    29338,    29531,  179906,   58512, 570.17,   01:33:58
    280,    29264,    29397,    29477,  179975,   57362, 580.23,   01:35:40
    290,    28590,    29094,    29742,  183571,   58420, 590.86,   01:37:23
    300,    28948,    29225,    29663,  182160,   59110, 590.86,   01:39:05
    310,    29180,    29242,    29343,  180343,   59409, 590.87,   01:40:48
    320,    29182,    29325,    29401,  180252,   59570, 591.00,   01:42:30
    330,    29461,    29654,    29858,  174179,   58995, 591.00,   01:44:12
    340,    29340,    29449,    29630,  179768,   58604, 591.23,   01:45:53
    350,    29531,    29774,    30087,  178411,   58650, 591.53,   01:47:34
    360,    29222,    29402,    29598,  177409,   58857, 591.80,   01:49:16
    370,    29244,    29460,    29632,  179515,   59731, 591.81,   01:50:58
    380,    29361,    29476,    29671,  179991,   58397, 591.86,   01:52:40
    390,    29442,    29767,    29977,  179078,   58696, 592.39,   01:54:21
    400,    28802,    29680,    30541,  177726,   58098, 593.42,   01:56:02
    410,    29566,    30024,    30360,  172959,   57247, 594.55,   01:57:42
    420,    29502,    30021,    30482,  179009,   58351, 594.81,   01:59:22
    430,    29500,    29667,    29913,  180036,   58719, 594.81,   02:01:03
    440,    29733,    30223,    30539,  175214,   59800, 595.30,   02:02:42
    450,    29832,    30168,    30339,  170545,   58351, 595.45,   02:04:22
    460,    30285,    30415,    30535,  170131,   58926, 595.70,   02:06:00
    470,    29725,    30024,    30452,  176019,   59639, 595.70,   02:07:40
    480,    29873,    30125,    30467,  174040,   58558, 596.04,   02:09:20
    490,    29610,    29898,    30217,  176640,   57914, 596.36,   02:11:00
    500,    30510,    30592,    30754,  169579,   58834, 596.21,   02:12:38
    510,    30351,    30424,    30560,  170660,   58282, 596.21,   02:14:17
    520,    29668,    30457,    30922,  164749,   60237, 596.47,   02:15:56
    530,    29935,    30377,    30719,  169244,   58995, 596.73,   02:17:34
    540,    29742,    30613,    31266,  166129,   59271, 596.99,   02:19:12
    550,    30616,    30815,    30935,  167256,   58420, 596.99,   02:20:50
    560,    29867,    30065,    30269,  173055,   58305, 596.99,   02:22:30
    570,    30630,    30835,    31007,  164351,   59156, 596.84,   02:24:07
    580,    30329,    30390,    30479,  172109,   58236, 596.84,   02:25:46
    590,    29857,    30587,    31520,  162472,   57799, 596.84,   02:27:24
    600,    29847,    30108,    30349,  172937,   58880, 596.84,   02:29:03
    610,    30758,    31050,    31251,  163346,   59777, 596.89,   02:30:40
    620,    29986,    30662,    31095,  167011,   58650, 596.91,   02:32:18
    630,    30244,    30818,    31346,  171879,   58926, 597.45,   02:33:55
    640,    30117,    30210,    30332,  171424,   59639, 597.49,   02:35:35
    650,    30101,    30518,    31052,  173742,   59018, 597.50,   02:37:13
    660,    30292,    30539,    30672,  169234,   58535, 597.50,   02:38:51
    670,    30370,    30579,    30767,  168731,   59708, 597.51,   02:40:29
    680,    30356,    30564,    30913,  169119,   60789, 597.36,   02:42:08
    690,    30145,    30374,    30626,  173374,   59478, 598.39,   02:43:46
    700,    30370,    30610,    30892,  172274,   58719, 598.39,   02:45:24
    710,    30247,    30705,    31146,  168912,   58213, 598.24,   02:47:02
    720,    30676,    30821,    30911,  167861,   60053, 598.24,   02:48:40
    730,    30541,    30678,    30758,  168360,   60122, 598.24,   02:50:17
    740,    29743,    30434,    30873,  165898,   60444, 598.24,   02:51:56
